date,open,high,low,close,volume
2016-01-01,292.05,295.15,290.4,293.55,215763
2016-01-04,291.0,296.65,284.55,289.25,707107
2016-01-05,291.0,291.75,285.05,290.2,840235
2016-01-06,289.75,296.8,288.9,295.55,944180
2016-01-07,294.35,294.35,274.8,278.25,1104380
2016-01-08,280.65,285.7,278.35,283.65,584362
2016-01-11,280.0,285.25,278.2,283.25,641044
2016-01-12,284.15,288.4,279.85,283.25,850649
2016-01-13,286.75,286.75,269.55,274.05,1079341
2016-01-14,269.4,270.6,261.1,265.7,1283876
2016-01-15,267.35,270.0,259.05,260.25,1364926
2016-01-18,257.05,262.85,249.75,258.65,951035
2016-01-19,259.35,265.95,258.05,261.3,768965
2016-01-20,256.65,258.95,246.9,248.95,1847785
2016-01-21,248.05,254.95,248.0,251.8,1406889
2016-01-22,255.1,268.15,253.5,266.15,1035614
2016-01-25,268.55,270.05,262.85,267.75,720941
2016-01-27,269.35,277.8,267.35,275.45,1484018
2016-01-28,275.4,280.65,272.7,273.75,1468535
2016-01-29,275.95,292.6,273.95,291.45,2515714
2016-02-01,294.0,294.65,287.0,292.1,897004
2016-02-02,291.35,292.0,275.05,277.35,1139482
2016-02-03,272.65,275.9,268.55,272.75,737736
2016-02-04,276.45,278.85,265.0,270.15,870586
2016-02-05,271.9,276.55,269.05,274.65,912361
2016-02-08,275.65,278.65,267.35,269.05,466188
2016-02-09,266.35,270.05,257.55,260.2,679610
2016-02-10,256.65,265.3,256.15,263.55,942150
2016-02-11,262.0,265.15,251.2,258.45,1242801
2016-02-12,259.25,262.2,244.85,252.95,1044446
2016-02-15,256.65,272.6,256.65,270.0,896406
2016-02-16,271.35,276.0,266.9,268.95,1253942
2016-02-17,268.6,271.35,255.05,263.75,863061
2016-02-18,268.45,268.65,258.35,262.45,533185
2016-02-19,261.35,266.65,255.15,265.35,659256
2016-02-22,266.0,268.65,261.35,263.15,626194
2016-02-23,263.35,266.45,258.65,262.9,581248
2016-02-24,261.2,262.35,251.05,252.45,735394
2016-02-25,253.3,257.5,246.3,254.8,1598429
2016-02-26,257.35,260.0,250.65,252.35,893981
2016-02-29,251.35,258.85,245.5,254.45,1515535
2016-03-01,254.95,273.6,254.65,270.85,1165938
2016-03-02,272.15,282.35,272.15,274.35,1365655
